crop_id,crop_name,source_category_id,source_category_name,taxonomy_type_code,taxonomy_type_name,taxonomy_category_code,taxonomy_category_name,match_method,match_status,category_status,review_note
30,Noug,3,Oil Crops,noug,Noug,oil-seeds,Oil seeds,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
31,Linseed,3,Oil Crops,linseed,Linseed,oil-seeds,Oil seeds,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
32,Rapeseed,3,Oil Crops,rapeseed,Rapeseed,oil-seeds,Oil seeds,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
33,Sesame,3,Oil Crops,sesame,Sesame,oil-seeds,Oil seeds,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
34,Groundnut,3,Oil Crops,groundnut,Groundnut,oil-seeds,Oil seeds,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
35,Sunflower,3,Oil Crops,sunflower,Sunflower,oil-seeds,Oil seeds,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
36,Safflower,3,Oil Crops,safflower,Safflower,oil-seeds,Oil seeds,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
37,Vernonia,10,Other Crops,vernonia,Vernonia,industrial-crops,Industrial Crops,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
38,Castor,10,Other Crops,castor,Castor,industrial-crops,Industrial Crops,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
39,Camelina sativa,10,Other Crops,camelina,Camelina,industrial-crops,Industrial Crops,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
40,Irish potato,5,"Tubers, Roots & Vegetable Crops",potato,Potato,roots-and-tubers,Roots and Tubers,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
41,Sweet potato,5,"Tubers, Roots & Vegetable Crops",sweet-potato,Sweet potato,roots-and-tubers,Roots and Tubers,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
42,Taro,5,"Tubers, Roots & Vegetable Crops",taro,Taro,roots-and-tubers,Roots and Tubers,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
43,Cassava,5,"Tubers, Roots & Vegetable Crops",cassava,Cassava,roots-and-tubers,Roots and Tubers,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
44,Enset,5,"Tubers, Roots & Vegetable Crops",enset,Enset,roots-and-tubers,Roots and Tubers,SOURCE_TYPE_CODE,MATCHED,ALIGNED,
